FID,cd_identificador,dt_ocorrencia,dc_tipo_ocorrencia,nm_distrito,ge_ponto,dt_carga,nm_subprefeitura,sg_fonte_original
risco_ocorrencia_alagamento.346,346,2026-01-19,ALAGAMENTO,,POINT (-46.5299053000004 -23.613670115819136),2026-07-03,VP - VILA PRUDENTE,SIGRC
risco_ocorrencia_alagamento.351,351,2026-01-19,ALAGAMENTO,,POINT (-46.79142720000094 -23.65199831587948),2026-07-03,CL - CAMPO LIMPO,SIGRC
risco_ocorrencia_alagamento.352,352,2026-01-19,ALAGAMENTO,,POINT (-46.753892100000826 -23.654663115883732),2026-07-03,MB - MBOI MIRIM,SIGRC
risco_ocorrencia_alagamento.356,356,2026-01-19,ALAGAMENTO,,POINT (-46.66519910000062 -23.755564216043563),2026-07-03,PA - PARELHEIROS,SIGRC
risco_ocorrencia_alagamento.362,362,2026-01-19,ALAGAMENTO,,POINT (-46.687885000000676 -23.772357216070176),2026-07-03,CS - CAPELA DO SOCORRO,SIGRC
risco_ocorrencia_alagamento.367,367,2026-01-19,ALAGAMENTO,,POINT (-46.78041940000089 -23.64938431587535),2026-07-03,CL - CAMPO LIMPO,SIGRC
risco_ocorrencia_alagamento.393,393,2026-01-20,ALAGAMENTO,,POINT (-46.409951100000264 -23.549508115717956),2026-07-03,G - GUAIANASES,SIGRC
risco_ocorrencia_alagamento.413,413,2026-01-20,ALAGAMENTO,,POINT (-46.784563400000906 -23.677999515920604),2026-07-03,CL - CAMPO LIMPO,SIGRC
risco_ocorrencia_alagamento.432,432,2026-01-22,ALAGAMENTO,,POINT (-46.7868783000009 -23.680179415924044),2026-07-03,CL - CAMPO LIMPO,SIGRC
risco_ocorrencia_alagamento.448,448,2026-01-25,ALAGAMENTO,,POINT (-46.60850030000053 -23.48748881562016),2026-07-03,ST - SANTANA/TUCURUVI,SIGRC
risco_ocorrencia_alagamento.451,451,2026-01-25,ALAGAMENTO,,POINT (-46.56315500000043 -23.508460415653214),2026-07-03,MG - VILA MARIA/VILA GUILHERME,SIGRC
risco_ocorrencia_alagamento.460,460,2026-01-26,ALAGAMENTO,,POINT (-46.40522230000025 -23.491453215626514),2026-07-03,MP - SAO MIGUEL PAULISTA,SIGRC
risco_ocorrencia_alagamento.461,461,2026-01-26,ALAGAMENTO,,POINT (-46.405259400000254 -23.48982501562395),2026-07-03,MP - SAO MIGUEL PAULISTA,SIGRC
risco_ocorrencia_alagamento.462,462,2026-01-26,ALAGAMENTO,,POINT (-46.551898500000426 -23.53708461569831),2026-07-03,AF - ARICANDUVA/VILA FORMOSA,SIGRC
risco_ocorrencia_alagamento.463,463,2026-01-26,ALAGAMENTO,,POINT (-46.551916300000435 -23.53675741569779),2026-07-03,AF - ARICANDUVA/VILA FORMOSA,SIGRC
risco_ocorrencia_alagamento.464,464,2026-01-26,ALAGAMENTO,,POINT (-46.54716500000042 -23.55011101571884),2026-07-03,AF - ARICANDUVA/VILA FORMOSA,SIGRC
risco_ocorrencia_alagamento.473,473,2026-01-27,ALAGAMENTO,,POINT (-46.57659380000048 -23.455207215569413),2026-07-03,JT - JACANA/TREMEMBE,SIGRC
risco_ocorrencia_alagamento.474,474,2026-01-27,ALAGAMENTO,,POINT (-46.576499600000496 -23.455105715569257),2026-07-03,JT - JACANA/TREMEMBE,SIGRC
risco_ocorrencia_alagamento.475,475,2026-01-27,ALAGAMENTO,,POINT (-46.57677430000046 -23.455358015569654),2026-07-03,JT - JACANA/TREMEMBE,SIGRC
risco_ocorrencia_alagamento.476,476,2026-01-27,ALAGAMENTO,,POINT (-46.576853500000475 -23.455611415570043),2026-07-03,JT - JACANA/TREMEMBE,SIGRC
risco_ocorrencia_alagamento.477,477,2026-01-27,ALAGAMENTO,,POINT (-46.57676110000047 -23.456326315571182),2026-07-03,JT - JACANA/TREMEMBE,SIGRC
risco_ocorrencia_alagamento.479,479,2026-01-27,ALAGAMENTO,,POINT (-46.57779500000046 -23.45646191557139),2026-07-03,JT - JACANA/TREMEMBE,SIGRC
risco_ocorrencia_alagamento.482,482,2026-01-27,ALAGAMENTO,,POINT (-46.745799700000795 -23.572813415754485),2026-07-03,BT - BUTANTA,SIGRC
risco_ocorrencia_alagamento.510,510,2026-01-27,ALAGAMENTO,,POINT (-46.66570080000063 -23.578833415764063),2026-07-03,PI - PINHEIROS,SIGRC
risco_ocorrencia_alagamento.512,512,2026-01-27,ALAGAMENTO,,POINT (-46.742994000000806 -23.567608015746274),2026-07-03,BT - BUTANTA,SIGRC
risco_ocorrencia_alagamento.517,517,2026-01-27,ALAGAMENTO,,POINT (-46.405169500000255 -23.490085015624352),2026-07-03,MP - SAO MIGUEL PAULISTA,SIGRC
risco_ocorrencia_alagamento.541,541,2026-01-28,ALAGAMENTO,,POINT (-46.610230400000525 -23.473217415597713),2026-07-03,ST - SANTANA/TUCURUVI,SIGRC
risco_ocorrencia_alagamento.548,548,2026-01-28,ALAGAMENTO,,POINT (-46.40578710000025 -23.49170611562692),2026-07-03,MP - SAO MIGUEL PAULISTA,SIGRC
risco_ocorrencia_alagamento.549,549,2026-01-28,ALAGAMENTO,,POINT (-46.405678400000255 -23.49253961562823),2026-07-03,MP - SAO MIGUEL PAULISTA,SIGRC
risco_ocorrencia_alagamento.550,550,2026-01-28,ALAGAMENTO,,POINT (-46.405482500000254 -23.49300431562895),2026-07-03,MP - SAO MIGUEL PAULISTA,SIGRC
risco_ocorrencia_alagamento.551,551,2026-01-28,ALAGAMENTO,,POINT (-46.407294100000264 -23.491211315626128),2026-07-03,MP - SAO MIGUEL PAULISTA,SIGRC
risco_ocorrencia_alagamento.554,554,2026-01-28,ALAGAMENTO,,POINT (-46.393081600000244 -23.495695315633192),2026-07-03,IT - ITAIM PAULISTA,SIGRC
risco_ocorrencia_alagamento.559,559,2026-01-28,ALAGAMENTO,,POINT (-46.397067500000254 -23.491092615625952),2026-07-03,MP - SAO MIGUEL PAULISTA,SIGRC
risco_ocorrencia_alagamento.563,563,2026-01-28,ALAGAMENTO,,POINT (-46.387863300000234 -23.492277115627818),2026-07-03,IT - ITAIM PAULISTA,SIGRC
risco_ocorrencia_alagamento.564,564,2026-01-28,ALAGAMENTO,,POINT (-46.384057400000245 -23.495213415632445),2026-07-03,IT - ITAIM PAULISTA,SIGRC
risco_ocorrencia_alagamento.577,577,2026-01-28,ALAGAMENTO,,POINT (-46.386677400000245 -23.491656315626837),2026-07-03,IT - ITAIM PAULISTA,SIGRC
risco_ocorrencia_alagamento.594,594,2026-01-28,ALAGAMENTO,,POINT (-46.386200400000234 -23.4938554156303),2026-07-03,IT - ITAIM PAULISTA,SIGRC
risco_ocorrencia_alagamento.599,599,2026-01-28,ALAGAMENTO,,POINT (-46.38623580000022 -23.493746115630117),2026-07-03,IT - ITAIM PAULISTA,SIGRC
risco_ocorrencia_alagamento.606,606,2026-01-28,ALAGAMENTO,,POINT (-46.39825210000024 -23.491050915625884),2026-07-03,MP - SAO MIGUEL PAULISTA,SIGRC
risco_ocorrencia_alagamento.607,607,2026-01-28,ALAGAMENTO,,POINT (-46.398287900000255 -23.4901033156244),2026-07-03,MP - SAO MIGUEL PAULISTA,SIGRC
risco_ocorrencia_alagamento.608,608,2026-01-28,ALAGAMENTO,,POINT (-46.39616620000025 -23.49261751562835),2026-07-03,MP - SAO MIGUEL PAULISTA,SIGRC
risco_ocorrencia_alagamento.614,614,2026-01-29,ALAGAMENTO,,POINT (-46.39101390000024 -23.496172115633946),2026-07-03,IT - ITAIM PAULISTA,SIGRC
risco_ocorrencia_alagamento.617,617,2026-01-29,ALAGAMENTO,,POINT (-46.38622320000024 -23.5087856156538),2026-07-03,IT - ITAIM PAULISTA,SIGRC
risco_ocorrencia_alagamento.618,618,2026-01-29,ALAGAMENTO,,POINT (-46.39572290000026 -23.49075531562542),2026-07-03,MP - SAO MIGUEL PAULISTA,SIGRC
risco_ocorrencia_alagamento.619,619,2026-01-29,ALAGAMENTO,,POINT (-46.39698260000025 -23.49032491562474),2026-07-03,MP - SAO MIGUEL PAULISTA,SIGRC
risco_ocorrencia_alagamento.626,626,2026-01-29,ALAGAMENTO,,POINT (-46.395898800000246 -23.491625515626776),2026-07-03,MP - SAO MIGUEL PAULISTA,SIGRC
risco_ocorrencia_alagamento.656,656,2026-01-30,ALAGAMENTO,,POINT (-46.405993500000264 -23.491499415626585),2026-07-03,MP - SAO MIGUEL PAULISTA,SIGRC
